manufacturer_id,manufacturer_name,description,manufacturer_url,aliases
1,Aavid,"","",""
2,Adafruit,"","",""
3,Advanced Thermal Solutions,"","",""
4,Alliance Memory,"","",""
5,Alpha (Taiwan),"","",""
6,Amphenol Commercial Products,"","",""
7,Amphenol FCI,"","",""
8,Aven,"","",""
9,Bourns,"","",""
10,BusBoard Prototype Systems,"","",""
11,Central Semiconductor,"","",""
12,CHERRY,"","",""
13,Chip Quik,"","",""
14,Cincon,"","",""
15,Coilcraft,"","",""
16,Comchip Technology,"","",""
17,CUI Devices,"","",CUI Inc.
18,Diotec Semiconductor,"","",""
19,E-Switch,"","",""
20,ECS,"","",""
21,Gravitech,"","",""
22,Grayhill,"","",""
23,Hammond Manufacturing,"","",""
24,JST Commercial,"","",JST Sales America Inc.
25,KEMET,"","",""
26,Kingbright,"","",""
27,Kobiconn,"","",""
28,Lumissil,"","",""
29,MEAN WELL,"","",""
30,Microchip,"","",""
31,Microchip Technology,"","",""
32,Mill-Max,"","",""
33,Neutrik,"","",""
34,Nichicon,"","",""
35,Nidec Components,"","",""
36,Nisshinbo,"","",""
37,NKK Switches,"","",""
38,Ohmite,"","",""
39,Omron Electronics,"","",""
40,onsemi / Fairchild,"","",onsemi
41,Panasonic,"","",""
42,Phoenix Contact,"","",""
43,Qualtek,"","",""
44,STMicroelectronics,"","",""
45,Switchcraft,"","",""
46,TE Connectivity,"","",""
47,Teltonika,"","",""
48,Terasic Technologies,"","",""
49,Texas Instruments,"","",""
50,Weller,"","",""
51,Western Design Center (WDC),"","",""
52,Wurth Elektronik,"","",""
53,XP Power,"","",""
